Geo Point;Geo Shape;NUMERO;TYPE;TYPE_TAMPON;ZSURF;Z_FE_ENTREE1
47.4884654052, -0.5092653945;"{""coordinates"": [-0.5092653945, 47.4884654052], ""type"": ""Point""}";1551271;BORGNE;;0;0
47.4872994721, -0.5102468385;"{""coordinates"": [-0.5102468385, 47.4872994721], ""type"": ""Point""}";1551270;BORGNE;;0;0
47.486044974, -0.511389746;"{""coordinates"": [-0.511389746, 47.486044974], ""type"": ""Point""}";1551268;BORGNE;;0;0
47.4863069056, -0.5139739028;"{""coordinates"": [-0.5139739028, 47.4863069056], ""type"": ""Point""}";1551264;SIMPLE;ROND;46.15;45.15
47.4836419466, -0.5195381213;"{""coordinates"": [-0.5195381213, 47.4836419466], ""type"": ""Point""}";1551262;SIMPLE;ROND;0;0
47.4830233136, -0.5207188029;"{""coordinates"": [-0.5207188029, 47.4830233136], ""type"": ""Point""}";1551260;BORGNE;;0;0
47.4825423685, -0.5216298013;"{""coordinates"": [-0.5216298013, 47.4825423685], ""type"": ""Point""}";1551259;BORGNE;;0;0
47.4846591859, -0.5175824936;"{""coordinates"": [-0.5175824936, 47.4846591859], ""type"": ""Point""}";1551257;SIMPLE;ROND;45.65;44.63
47.484097108, -0.5186541999;"{""coordinates"": [-0.5186541999, 47.484097108], ""type"": ""Point""}";1551254;SIMPLE;ROND;46.85;46.13
47.484990727, -0.5169581286;"{""coordinates"": [-0.5169581286, 47.484990727], ""type"": ""Point""}";1551253;BORGNE;;0;0
47.4879429493, -0.5336569367;"{""coordinates"": [-0.5336569367, 47.4879429493], ""type"": ""Point""}";1551251;BORGNE;;0;0
47.4871988662, -0.5222079445;"{""coordinates"": [-0.5222079445, 47.4871988662], ""type"": ""Point""}";1551248;SIMPLE;CARRE;42.95;41.23
47.4839472519, -0.5294813961;"{""coordinates"": [-0.5294813961, 47.4839472519], ""type"": ""Point""}";1551246;BORGNE;;0;0
47.4849749661, -0.5176825903;"{""coordinates"": [-0.5176825903, 47.4849749661], ""type"": ""Point""}";1551244;SIMPLE;ROND;45.79;43.49
47.4838741723, -0.5204268495;"{""coordinates"": [-0.5204268495, 47.4838741723], ""type"": ""Point""}";1551243;BORGNE;;0;0
47.4843425408, -0.515659698;"{""coordinates"": [-0.515659698, 47.4843425408], ""type"": ""Point""}";1551239;BORGNE;;0;0
47.4843150577, -0.5158378568;"{""coordinates"": [-0.5158378568, 47.4843150577], ""type"": ""Point""}";1551237;BORGNE;;0;0
47.4842859437, -0.5164155812;"{""coordinates"": [-0.5164155812, 47.4842859437], ""type"": ""Point""}";1551236;BORGNE;;0;0
47.4827290397, -0.516635578;"{""coordinates"": [-0.516635578, 47.4827290397], ""type"": ""Point""}";1551233;BORGNE;;0;0
47.4828165298, -0.5176387399;"{""coordinates"": [-0.5176387399, 47.4828165298], ""type"": ""Point""}";1551231;BORGNE;;0;0
47.4871549321, -0.5243181494;"{""coordinates"": [-0.5243181494, 47.4871549321], ""type"": ""Point""}";1551229;SIMPLE;CARRE;43.35;41.66
47.4871863505, -0.5244481552;"{""coordinates"": [-0.5244481552, 47.4871863505], ""type"": ""Point""}";1551228;BORGNE;;0;0
47.4874501196, -0.5259600649;"{""coordinates"": [-0.5259600649, 47.4874501196], ""type"": ""Point""}";1551226;BORGNE;;0;0
47.487686159, -0.5269818444;"{""coordinates"": [-0.5269818444, 47.487686159], ""type"": ""Point""}";1551225;SIMPLE;ROND;46.61;44.82
